                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.60678,                0.88378,                0.46964,                0.91867,                0.75447,                0.75879,                0.78324,                 0.5481,                0.71975,                 0.7357,                0.73721,                0.47557,                0.81532,                 1.4128,                0.88262,                 1.0695,              0.0012649,              0.0012649,              0.0012649
                     61,                0.60605,                0.87419,                 0.4738,                0.92113,                0.74682,                0.79185,                0.79625,                0.56726,                0.73095,                0.77155,                0.76234,                0.49494,                0.82511,                 1.4446,                0.83221,                  1.054,              0.0012621,              0.0012621,              0.0012621
                     62,                0.59823,                0.86813,                0.46828,                0.91621,                0.76507,                0.75087,                0.78439,                0.56213,                0.72871,                0.72082,                0.73605,                0.48471,                0.80259,                 1.4733,                0.83987,                 1.0543,              0.0012592,              0.0012592,              0.0012592
                     63,                 0.6047,                0.87102,                0.46087,                0.91958,                0.75866,                0.70388,                0.73351,                0.50483,                0.71818,                 0.6661,                0.68455,                0.43493,                 0.9602,                 1.5753,                0.97648,                 1.2651,              0.0012564,              0.0012564,              0.0012564
                     64,                0.58519,                0.85877,                0.45962,                0.92351,                0.76445,                0.72922,                0.75584,                0.52496,                0.73301,                0.69885,                0.71659,                0.46411,                   0.86,                 1.3748,                0.88924,                 1.1333,              0.0012536,              0.0012536,              0.0012536
                     65,                0.61194,                0.92234,                0.46716,                0.92038,                0.73321,                0.69995,                 0.7432,                0.51515,                0.70959,                 0.6594,                0.70072,                0.44309,                0.78919,                  1.389,                 1.0076,                 1.0662,              0.0012507,              0.0012507,              0.0012507
                     66,                 0.6015,                0.86969,                0.45916,                0.91634,                0.73417,                0.76337,                0.78056,                0.57174,                0.71176,                0.74047,                0.74904,                0.50598,                0.77704,                 1.3507,                0.80378,                 1.0797,              0.0012479,              0.0012479,              0.0012479
                     67,                0.58377,                0.84033,                0.44601,                0.91018,                 0.7054,                0.77544,                0.78119,                0.55685,                0.66835,                0.73397,                0.72812,                0.48578,                 0.8514,                 1.4149,                0.88863,                 1.1281,              0.0012451,              0.0012451,              0.0012451
                     68,                0.59989,                0.87664,                0.44999,                0.91644,                 0.6923,                0.74453,                0.74431,                0.52508,                0.66257,                0.71976,                 0.7044,                0.45671,                0.87688,                 1.4468,                0.93763,                 1.1654,              0.0012423,              0.0012423,              0.0012423
                     69,                0.60656,                0.88065,                0.45921,                0.91997,                 0.7435,                0.68949,                0.74484,                0.52392,                 0.7034,                 0.6531,                0.69171,                0.44539,                0.91161,                 1.6082,                0.92464,                 1.2287,              0.0012394,              0.0012394,              0.0012394
                     70,                0.58999,                0.86501,                 0.4569,                0.91297,                0.74182,                0.77379,                0.80145,                0.58339,                0.70935,                 0.7289,                0.74884,                0.49774,                0.76928,                  1.447,                0.78502,                  1.055,              0.0012366,              0.0012366,              0.0012366
